n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
142000;10000;1;46.109000;46.109000;16.299000;15.337000;14.473000;16.299000;15.337000;14.473000;5.152288
143000;10000;1;47.397000;47.397000;16.642000;16.261000;14.494000;16.642000;16.261000;14.494000;5.155336
144000;10000;1;45.995000;45.995000;16.067000;16.002000;13.926000;16.067000;16.002000;13.926000;5.158362
145000;10000;1;46.868000;46.868000;16.383000;15.704000;14.781000;16.383000;15.704000;14.781000;5.161368
146000;10000;1;46.473000;46.473000;16.109000;15.845000;14.519000;16.109000;15.845000;14.519000;5.164353
147000;10000;1;52.891000;52.891000;18.115000;18.172000;16.604000;18.115000;18.172000;16.604000;5.167317
148000;10000;1;50.635000;50.635000;18.351000;17.684000;14.600000;18.351000;17.684000;14.600000;5.170262
149000;10000;1;51.888000;51.888000;18.938000;17.711000;15.239000;18.938000;17.711000;15.239000;5.173186
150000;10000;1;49.350000;49.350000;17.514000;16.936000;14.900000;17.514000;16.936000;14.900000;5.176091
151000;10000;1;52.896000;52.896000;19.117000;18.096000;15.683000;19.117000;18.096000;15.683000;5.178977
152000;10000;1;49.745000;49.745000;17.392000;16.607000;15.746000;17.392000;16.607000;15.746000;5.181844
153000;10000;1;51.228000;51.228000;17.952000;17.526000;15.750000;17.952000;17.526000;15.750000;5.184691
154000;10000;1;49.098000;49.098000;17.282000;16.562000;15.254000;17.282000;16.562000;15.254000;5.187521
155000;10000;1;49.662000;49.662000;17.239000;17.323000;15.100000;17.239000;17.323000;15.100000;5.190331
156000;10000;1;49.273000;49.273000;17.202000;16.898000;15.173000;17.202000;16.898000;15.173000;5.193125
157000;10000;1;51.877000;51.877000;17.986000;18.102000;15.789000;17.986000;18.102000;15.789000;5.195899
158000;10000;1;50.935000;50.935000;17.911000;17.197000;15.827000;17.911000;17.197000;15.827000;5.198657
159000;10000;1;52.480000;52.480000;18.453000;17.853000;16.174000;18.453000;17.853000;16.174000;5.201397
160000;10000;1;51.985000;51.985000;18.461000;17.451000;16.073000;18.461000;17.451000;16.073000;5.204120
161000;10000;1;53.827000;53.827000;19.430000;18.122000;16.275000;19.430000;18.122000;16.275000;5.206826
162000;10000;1;52.629000;52.629000;18.557000;18.142000;15.930000;18.557000;18.142000;15.930000;5.209515
163000;10000;1;53.821000;53.821000;19.241000;18.261000;16.319000;19.241000;18.261000;16.319000;5.212188
164000;10000;1;52.256000;52.256000;18.412000;18.055000;15.789000;18.412000;18.055000;15.789000;5.214844
165000;10000;1;54.515000;54.515000;19.444000;18.257000;16.814000;19.444000;18.257000;16.814000;5.217484
166000;10000;1;55.286000;55.286000;19.686000;18.900000;16.700000;19.686000;18.900000;16.700000;5.220108
167000;10000;1;56.667000;56.667000;20.068000;19.334000;17.265000;20.068000;19.334000;17.265000;5.222716
168000;10000;1;55.614000;55.614000;19.148000;18.843000;17.623000;19.148000;18.843000;17.623000;5.225309
169000;10000;1;56.676000;56.676000;19.722000;19.583000;17.371000;19.722000;19.583000;17.371000;5.227887
170000;10000;1;55.098000;55.098000;19.319000;19.159000;16.620000;19.319000;19.159000;16.620000;5.230449
171000;10000;1;56.778000;56.778000;20.083000;19.299000;17.396000;20.083000;19.299000;17.396000;5.232996
172000;10000;1;56.161000;56.161000;19.653000;19.160000;17.348000;19.653000;19.160000;17.348000;5.235528
173000;10000;1;62.127000;62.127000;21.627000;20.948000;19.552000;21.627000;20.948000;19.552000;5.238046
174000;10000;1;57.909000;57.909000;20.072000;19.874000;17.963000;20.072000;19.874000;17.963000;5.240549
175000;10000;1;60.738000;60.738000;21.217000;20.941000;18.580000;21.217000;20.941000;18.580000;5.243038
176000;10000;1;57.105000;57.105000;20.273000;19.518000;17.314000;20.273000;19.518000;17.314000;5.245512
177000;10000;1;59.884000;59.884000;20.952000;20.303000;18.629000;20.952000;20.303000;18.629000;5.247973
178000;10000;1;57.043000;57.043000;20.056000;19.273000;17.714000;20.056000;19.273000;17.714000;5.250420
179000;10000;1;60.100000;60.100000;20.358000;20.264000;19.478000;20.358000;20.264000;19.478000;5.252853
180000;10000;1;58.583000;58.583000;20.874000;20.104000;17.605000;20.874000;20.104000;17.605000;5.255272
181000;10000;1;61.114000;61.114000;21.305000;21.175000;18.634000;21.305000;21.175000;18.634000;5.257679
182000;10000;1;60.398000;60.398000;20.839000;19.985000;19.574000;20.839000;19.985000;19.574000;5.260071
183000;10000;1;61.051000;61.051000;21.370000;20.379000;19.302000;21.370000;20.379000;19.302000;5.262451
184000;10000;1;60.533000;60.533000;20.831000;21.068000;18.634000;20.831000;21.068000;18.634000;5.264818
185000;10000;1;60.725000;60.725000;20.919000;20.717000;19.089000;20.919000;20.717000;19.089000;5.267172
186000;10000;1;59.523000;59.523000;20.939000;20.368000;18.216000;20.939000;20.368000;18.216000;5.269513
187000;10000;1;62.820000;62.820000;21.640000;21.551000;19.629000;21.640000;21.551000;19.629000;5.271842
188000;10000;1;60.691000;60.691000;21.044000;20.473000;19.174000;21.044000;20.473000;19.174000;5.274158
189000;10000;1;62.967000;62.967000;22.441000;21.162000;19.364000;22.441000;21.162000;19.364000;5.276462
190000;10000;1;61.729000;61.729000;21.698000;21.031000;19.000000;21.698000;21.031000;19.000000;5.278754
191000;10000;1;63.635000;63.635000;21.977000;22.031000;19.627000;21.977000;22.031000;19.627000;5.281034
192000;10000;1;62.075000;62.075000;21.231000;21.617000;19.227000;21.231000;21.617000;19.227000;5.283301
193000;10000;1;67.480000;67.480000;23.572000;22.583000;21.325000;23.572000;22.583000;21.325000;5.285557
194000;10000;1;62.618000;62.618000;21.992000;21.119000;19.507000;21.992000;21.119000;19.507000;5.287802
195000;10000;1;66.922000;66.922000;23.748000;22.628000;20.546000;23.748000;22.628000;20.546000;5.290035
196000;10000;1;64.508000;64.508000;22.998000;21.881000;19.629000;22.998000;21.881000;19.629000;5.292256
197000;10000;1;69.003000;69.003000;24.093000;23.878000;21.032000;24.093000;23.878000;21.032000;5.294466
198000;10000;1;65.520000;65.520000;22.847000;22.313000;20.360000;22.847000;22.313000;20.360000;5.296665
199000;10000;1;66.540000;66.540000;23.522000;22.495000;20.523000;23.522000;22.495000;20.523000;5.298853
200000;10000;1;65.661000;65.661000;22.772000;22.442000;20.447000;22.772000;22.442000;20.447000;5.301030
201000;10000;1;67.008000;67.008000;23.676000;22.768000;20.564000;23.676000;22.768000;20.564000;5.303196
202000;10000;1;65.555000;65.555000;23.518000;22.158000;19.879000;23.518000;22.158000;19.879000;5.305351
203000;10000;1;67.021000;67.021000;23.627000;22.900000;20.494000;23.627000;22.900000;20.494000;5.307496
204000;10000;1;66.391000;66.391000;22.881000;22.142000;21.368000;22.881000;22.142000;21.368000;5.309630
205000;10000;1;71.622000;71.622000;24.998000;23.942000;22.682000;24.998000;23.942000;22.682000;5.311754
